Date,Close,Volume
04-08-16,54.42,22167223
04-11-16,54.31,21414227
04-12-16,54.65,24944288
4/13/2016 16:00:00,55.35,20817961
4/14/2016 16:00:00,55.36,20877108
4/15/2016 16:00:00,55.65,28793753
4/18/2016 16:00:00,56.46,23785950
4/19/2016 16:00:00,56.39,29596827
4/20/2016 16:00:00,55.59,36195714
4/21/2016 16:00:00,55.78,38909096
4/22/2016 16:00:00,51.78,126834091
4/25/2016 16:00:00,52.11,33226948
4/26/2016 16:00:00,51.44,33532636
4/27/2016 16:00:00,50.94,43369256
4/28/2016 16:00:00,49.9,43134846
4/29/2016 16:00:00,49.87,48411684
05-02-16,50.61,33114539
05-03-16,49.78,26460244
05-04-16,49.87,24257556
05-05-16,49.94,25390718
05-06-16,50.39,24787301
05-09-16,50.07,17951598
05-10-16,51.02,22890966
05-11-16,51.05,24039140
05-12-16,51.51,24102781
5/13/2016 16:00:00,51.08,22592342
5/16/2016 16:00:00,51.83,20032017
5/17/2016 16:00:00,50.51,27803514
5/18/2016 16:00:00,50.81,24907532
5/19/2016 16:00:00,50.32,23842358
5/20/2016 16:00:00,50.62,23905769
5/23/2016 16:00:00,50.03,26118720
5/24/2016 16:00:00,51.59,34757944
5/25/2016 16:00:00,52.12,24204566
5/26/2016 16:00:00,51.89,24335223
5/27/2016 16:00:00,52.32,17721438
5/31/2016 16:00:00,53,37653081
06-01-16,52.85,25324828
06-02-16,52.48,22840779
06-03-16,51.79,23368291
06-06-16,52.13,18243271
06-07-16,52.1,20866770
06-08-16,52.04,21149438
06-09-16,51.62,20305664
06-10-16,51.48,25833151
6/13/2016 16:00:00,50.14,83217844
6/14/2016 16:00:00,49.83,42577106
6/15/2016 16:00:00,49.69,33757639
6/16/2016 16:00:00,50.39,31188605
6/17/2016 16:00:00,50.13,45710516
6/20/2016 16:00:00,50.07,35607946
6/21/2016 16:00:00,51.19,34097825
6/22/2016 16:00:00,50.99,28816848
6/23/2016 16:00:00,51.91,29028833
6/24/2016 16:00:00,49.83,133502985
6/27/2016 16:00:00,48.43,50576699
6/28/2016 16:00:00,49.44,38140658
6/29/2016 16:00:00,50.54,31304021
6/30/2016 16:00:00,51.17,28527781
07-01-16,51.16,21400392
07-05-16,51.17,24806351
07-06-16,51.38,28167461
07-07-16,51.38,19585194
07-08-16,52.3,28391026
07-11-16,52.59,22269203
07-12-16,53.21,27317555
7/13/2016 16:00:00,53.51,25356841
7/14/2016 16:00:00,53.74,24545520
7/15/2016 16:00:00,53.7,32024385
7/18/2016 16:00:00,53.96,31433864
7/19/2016 16:00:00,53.09,53336533
7/20/2016 16:00:00,55.91,89893301
7/21/2016 16:00:00,55.8,32776653
7/22/2016 16:00:00,56.57,32157167
7/25/2016 16:00:00,56.73,25610587
7/26/2016 16:00:00,56.76,28078995
7/27/2016 16:00:00,56.19,32327477
7/28/2016 16:00:00,56.21,37550411
7/29/2016 16:00:00,56.68,30558718
08-01-16,56.58,26003419
08-02-16,56.58,35121958
08-03-16,56.97,22075616
08-04-16,57.39,26587749
08-05-16,57.96,29335221
08-08-16,58.06,19473499
08-09-16,58.2,16920721
08-10-16,58.02,15756913
08-11-16,58.3,18162301
08-12-16,57.94,21655161
8/15/2016 16:00:00,58.12,19283902
8/16/2016 16:00:00,57.44,20523493
8/17/2016 16:00:00,57.56,18856423
8/18/2016 16:00:00,57.6,14214341
8/19/2016 16:00:00,57.62,17271044
8/22/2016 16:00:00,57.67,15221922
8/23/2016 16:00:00,57.89,18732373
8/24/2016 16:00:00,57.95,18151506
8/25/2016 16:00:00,58.17,18552579
8/26/2016 16:00:00,58.03,20971202
8/29/2016 16:00:00,58.1,16417207
8/30/2016 16:00:00,57.89,16930185
8/31/2016 16:00:00,57.46,20860269
09-01-16,57.59,26075363
09-02-16,57.67,18900489
09-06-16,57.61,16278416
09-07-16,57.66,17493359
09-08-16,57.43,20146083
09-09-16,56.21,35113934
09-12-16,57.05,29302962
9/13/2016 16:00:00,56.53,30130213
9/14/2016 16:00:00,56.26,24274273
9/15/2016 16:00:00,57.19,27062614
9/16/2016 16:00:00,57.25,44606965
9/19/2016 16:00:00,56.93,20937104
9/20/2016 16:00:00,56.81,17383982
9/21/2016 16:00:00,57.76,33707272
9/22/2016 16:00:00,57.82,19822203
9/23/2016 16:00:00,57.43,19955336
9/26/2016 16:00:00,56.9,21688720
9/27/2016 16:00:00,57.95,28065071
9/28/2016 16:00:00,58.03,20536400
9/29/2016 16:00:00,57.4,25463536
9/30/2016 16:00:00,57.6,29910788
10-03-16,57.42,19189515
10-04-16,57.24,20085874
10-05-16,57.64,16726411
10-06-16,57.74,16212611
10-07-16,57.8,20089020
10-10-16,58.04,18196509
10-11-16,57.19,26497418
10-12-16,57.11,22177464
10/13/2016 16:00:00,56.92,25313748
10/14/2016 16:00:00,57.42,27402451
10/17/2016 16:00:00,57.22,23830014
10/18/2016 16:00:00,57.66,19149538
10/19/2016 16:00:00,57.53,22878397
10/20/2016 16:00:00,57.25,49455612
10/21/2016 16:00:00,59.66,80032206
10/24/2016 16:00:00,61,54066978
10/25/2016 16:00:00,60.99,35137164
10/26/2016 16:00:00,60.63,29911608
10/27/2016 16:00:00,60.1,28479856
10/28/2016 16:00:00,59.87,33574684
10/31/2016 16:00:00,59.92,26434697
11-01-16,59.8,24532986
11-02-16,59.43,22147005
11-03-16,59.21,21600427
11-04-16,58.71,28697016
11-07-16,60.42,31664798
11-08-16,60.47,22935355
11-09-16,60.17,49632479
11-10-16,58.7,57822394
11-11-16,59.02,38767843
11/14/2016 16:00:00,58.12,41328422
11/15/2016 16:00:00,58.87,35904126
11/16/2016 16:00:00,59.65,27332475
11/17/2016 16:00:00,60.64,32132728
11/18/2016 16:00:00,60.35,27686311
11/21/2016 16:00:00,60.86,19652595
11/22/2016 16:00:00,61.12,23206700
11/23/2016 16:00:00,60.4,21848913
11/25/2016 16:00:00,60.53,8409616
11/28/2016 16:00:00,60.61,20732619
11/29/2016 16:00:00,61.09,22366721
11/30/2016 16:00:00,60.26,34655435
12-01-16,59.2,34542121
12-02-16,59.25,25515665
12-05-16,60.22,23552658
12-06-16,59.95,19907035
12-07-16,61.37,30808969
12-08-16,61.01,21220753
12-09-16,61.97,27349356
12-12-16,62.17,20198081
12/13/2016 16:00:00,62.98,35718868
12/14/2016 16:00:00,62.68,30352654
12/15/2016 16:00:00,62.58,27669868
12/16/2016 16:00:00,62.3,42453083
12/19/2016 16:00:00,63.62,34338219
12/20/2016 16:00:00,63.54,26028379
12/21/2016 16:00:00,63.54,17096304
12/22/2016 16:00:00,63.55,22176585
12/23/2016 16:00:00,63.24,12403819
12/27/2016 16:00:00,63.28,11763173
12/28/2016 16:00:00,62.99,14653348
12/29/2016 16:00:00,62.9,10250582
12/30/2016 16:00:00,62.14,25579908
01-03-17,62.58,20694101
01-04-17,62.3,21339969
01-05-17,62.3,24875968
01-06-17,62.84,19922919
01-09-17,62.64,20382730
01-10-17,62.62,18593004
01-11-17,63.19,21517335
01-12-17,62.61,20968223
1/13/2017 16:00:00,62.7,19422310
1/17/2017 16:00:00,62.53,20663983
1/18/2017 16:00:00,62.5,19670102
1/19/2017 16:00:00,62.3,18451655
1/20/2017 16:00:00,62.74,30213462
1/23/2017 16:00:00,62.96,23097581
1/24/2017 16:00:00,63.52,24672940
1/25/2017 16:00:00,63.68,24654933
1/26/2017 16:00:00,64.27,43554645
1/27/2017 16:00:00,65.78,44817972
1/30/2017 16:00:00,65.13,31651445
1/31/2017 16:00:00,64.65,25270549
02-01-17,63.58,39671528
02-02-17,63.17,45827013
02-03-17,63.68,30301759
02-06-17,63.64,19796360
02-07-17,63.43,20277226
02-08-17,63.34,18096358
02-09-17,64.06,22644443
02-10-17,64,18170729
2/13/2017 16:00:00,64.72,22920101
2/14/2017 16:00:00,64.57,23108426
2/15/2017 16:00:00,64.53,17005157
2/16/2017 16:00:00,64.52,20546345
2/17/2017 16:00:00,64.62,21248818
2/21/2017 16:00:00,64.49,20655869
2/22/2017 16:00:00,64.36,19292651
2/23/2017 16:00:00,64.62,20273128
2/24/2017 16:00:00,64.62,21796800
2/27/2017 16:00:00,64.23,15871507
2/28/2017 16:00:00,63.98,23239825
03-01-17,64.94,26937459
03-02-17,64.01,24539597
03-03-17,64.25,18139405
03-06-17,64.27,18750255
03-07-17,64.4,18520987
03-08-17,64.99,21510907
03-09-17,64.73,19846832
03-10-17,64.93,19538245
3/13/2017 16:00:00,64.71,20100035
3/14/2017 16:00:00,64.41,14280202
3/15/2017 16:00:00,64.75,24833810
3/16/2017 16:00:00,64.64,20674296
3/17/2017 16:00:00,64.87,49219686
3/20/2017 16:00:00,64.93,14598083
3/21/2017 16:00:00,64.21,26640480
3/22/2017 16:00:00,65.03,20680015
3/23/2017 16:00:00,64.87,19269203
3/24/2017 16:00:00,64.98,22617105
3/27/2017 16:00:00,65.1,18614662
3/28/2017 16:00:00,65.29,20080358
3/29/2017 16:00:00,65.47,13618424
3/30/2017 16:00:00,65.71,15122823
3/31/2017 16:00:00,65.86,21040331
04-03-17,65.55,20400871
04-04-17,65.73,12997449
04-05-17,65.56,21448594
04-06-17,65.73,18103453
04-07-17,65.68,14108533
04-10-17,65.53,17952742
04-11-17,65.48,18791533
04-12-17,65.23,17108513
4/13/2017 16:00:00,64.95,17896483
4/17/2017 16:00:00,65.48,16689265
4/18/2017 16:00:00,65.39,15155611
4/19/2017 16:00:00,65.04,26992771
4/20/2017 16:00:00,65.5,22299477
4/21/2017 16:00:00,66.4,32522645
4/24/2017 16:00:00,67.53,29769976
4/25/2017 16:00:00,67.92,30242730
4/26/2017 16:00:00,67.83,26190770
4/27/2017 16:00:00,68.27,34970953
4/28/2017 16:00:00,68.46,39548818
05-01-17,69.41,31954362
05-02-17,69.3,23906119
05-03-17,69.08,28927973
05-04-17,68.81,21749409
05-05-17,69,19128782
05-08-17,68.94,18566087
05-09-17,69.04,22858414
05-10-17,69.31,17977830
05-11-17,68.46,28789413
05-12-17,68.38,18714123
5/15/2017 16:00:00,68.43,31530301
5/16/2017 16:00:00,69.41,34956038
5/17/2017 16:00:00,67.48,30548781
5/18/2017 16:00:00,67.71,25201274
5/19/2017 16:00:00,67.69,26961119
5/22/2017 16:00:00,68.45,16237550
5/23/2017 16:00:00,68.68,15425824
5/24/2017 16:00:00,68.77,14666865
5/25/2017 16:00:00,69.62,21854095
5/26/2017 16:00:00,69.96,19827923
5/30/2017 16:00:00,70.41,17072838
5/31/2017 16:00:00,69.84,30436364
06-01-17,70.1,21603601
06-02-17,71.76,34770261
06-05-17,72.28,33316760
06-06-17,72.52,31511065
06-07-17,72.39,22301765
06-08-17,71.95,24588270
06-09-17,70.32,49187396
06-12-17,69.78,47761743
6/13/2017 16:00:00,70.65,25258614
6/14/2017 16:00:00,70.27,25510685
6/15/2017 16:00:00,69.9,26068709
6/16/2017 16:00:00,70,48345085
6/19/2017 16:00:00,70.87,23798268
6/20/2017 16:00:00,69.91,21512231
6/21/2017 16:00:00,70.27,19891051
6/22/2017 16:00:00,70.26,22965738
6/23/2017 16:00:00,71.21,27617291
6/26/2017 16:00:00,70.53,19606974
6/27/2017 16:00:00,69.21,25215128
6/28/2017 16:00:00,69.8,25806200
6/29/2017 16:00:00,68.49,28918715
6/30/2017 16:00:00,68.93,24161068
07-03-17,68.17,16165538
07-05-17,69.08,21176272
